+	ovce	ovečka
+	ovce	ovčák
+	ovce	ovčin
+	ovce	ovčákův
+	ovčák	ovčákův
+	ovečka	oveččin

+	jablečný	jablečně
+	jablečný	jablečnost
+	jablečný	jablečník
+	jablíčko	jablíčkář
+	jablíčko	jablíčkový
+	jablíčko	jablečný
+	jablko	jablíčko
+	jablko	jablečný
+	jablko	jablkový
+	jablko	jablíčkovost
+	jablko	jablečně
+	jablko	jablíčkář
+	jablkový	jablkovost
+	jablkový	jablkově

+	naučit	naučený
+	naučit	naučitelný
+	naučit	ponaučit
+	naučit	odnaučit
+	poučit	poučný
+	poučit	poučený
+	poučit	poučovat
+	učit	učitel
+	učit	učení
+	učit	učebna
+	učit	poučit
+	učit	odučit
+	učit	naučit
+	učit	učitýlek
+	učit	poučný
+	učit	učitelský
+	učit	odnaučit
+	učitel	učitelka
+	učitel	učitelský
+	učitel	učitýlek
+	učitel	naučit
+	učitelka	učitelčin
+	učitelka	učitel

+	pisálek	pisálkův
+	předepisovat	předepisovatel
+	předepisovat	předepisovaný
+	předepsaný	předepsanost
+	předepsat	předepisovat
+	předepsat	předepsaný
+	předepsat	předepsání
+	připisovat	připisovací
+	připsat	připisovat
+	připsat	připsaný
+	připsat	předepsat
+	psaní	psaníčko
+	psaníčko	psaníčkový
+	psaníčko	psaní
+	psát	psaní
+	psát	předepsat
+	psát	připsat
+	psát	rozepsat
+	psát	pisálek
+	psát	psaníčko
+	psát	předepsaný
+	psát	rozepsat
+	rozepsat	rozepisovat

+	náruč	náručí
+	ručit	doručit
+	ručit	zaručit
+	ručit	ručený
+	ručit	ručitelný
+	ručník	ručníček
+	ručník	ručníkový
+	ruka	ručit
+	ruka	ruční
+	ruka	ručník
+	ruka	rukáv
+	ruka	rukavice
+	ruka	ručka
+	ruka	náruč
+	ruka	náručí
+	rukáv	rukávek
+	rukáv	rukávový
+	rukáv	ruka
+	rukávek	rukávkový
+	rukávek	rukavička
+	rukavice	rukavička
+	rukávový	rukávkový
+	zaručit	zaručitelný
+	zaručitelný	ručit

+	obveselit	obveselení
+	obveselit	poobveselit
+	rozveselený	rozveselenost
+	rozveselit	rozveselený
+	veselit	rozveselit
+	veselit	obveselit
+	veselit	veselení
+	veselit	veselý
+	veselit	rozveselený
+	veselka	veselkový
+	veselkový	veselkově
+	veselo	zvesela
+	veselý	veselo
+	veselý	veselka
+	veselý	veselit
+	veselý	převeselý
+	veselý	zvesela
+	veselý	veselkový

+	kocour	kocourek
+	kocour	kocouří
+	kocour	kocourův
+	kočička	kočičák
+	kočička	kočičkový
+	kočka	kocour
+	kočka	kočičí
+	kočka	kočkař
+	kočka	kočkovat
+	kočka	kočička
+	kočkař	kočkařka
+	kočkovat	pokočkovat
+	kočkovat	kočkující
+	kočkovat	kočkování

+	rodit	rodívat
+	rodit	rození
+	rodit	urodit
+	rodit	zrodit
+	rodit	rodný
+	rodit	zroditel
+	rodit	zrůda
+	rodívaný	rodívající
+	rodívat	rodívaný
+	rodívat	rodívající
+	rodnost	rodně
+	rodný	rodně
+	rodný	rodnost
+	rodný	úroda
+	urodit	úroda
+	urodit	urozený
+	urozený	urozeně
+	urozený	urozenec
+	urozený	urozenost
+	urozený	zrozený
+	zrodit	zrození
+	zrodit	zrůda
+	zrodit	zrozený
+	zrodit	zroditel

+	hráč	hrát
+	hráč	hráčka
+	hráč	hřiště
+	hráč	hřišťátko
+	hráčka	hráč
+	hráčka	hrát
+	hráčka	hřiště
+	hráčka	hřišťátko
+	hrát	hráč
+	hrát	hráčka
+	hrát	hřiště
+	hrát	hřišťátko
+	hřišťátko	hráč
+	hřišťátko	hrát
+	hřišťátko	hráčka
+	hřišťátko	hřiště
+	hřiště	hráč
+	hřiště	hrát
+	hřiště	hráčka
+	hřiště	hřišťátko

+	smutek	smuteční
+	smutnit	posmutnit
+	smutnit	rozesmutnit
+	smutnit	smutnívat
+	smutnit	smutně
+	smutnit	smutňoučký
+	smutný	smutnit
+	smutný	smutno
+	smutný	smutně
+	smutný	smutňoučký
+	smutný	smutek
+	smutný	smuteční
